year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,library officer,3312,2936,2300,3290,2920,2300
2024,lifeguard,3200,2790,2586,3200,2790,2586
2024,lift engineer,6622,4842,3811,6560,4560,3764
2024,lift supervisor,6730,4813,4142,4839,4140,3612
2024,lift technician,5669,4374,3207,4931,3808,2758
2024,load control officer (aircraft),4797,4229,3335,4797,4229,3335
2024,locksmith,4609,3285,3131,4609,3285,3131
2024,logistics/production planner,5815,4282,3331,5705,4150,3201
2024,lorry driver,3000,2159,1600,2610,1894,1353
2024,machinery mechanic,4100,2910,1800,4000,2856,1780
2024,machining/tooling technician,4900,3641,2695,3708,2870,2400
2024,maintenance planner,8740,6540,4475,8629,5905,4425
2024,management consultant,17995,10799,6053,17938,10624,6000
2024,management executive,4535,3913,3300,4461,3864,3232
2024,managing director/chief executive officer,20000,13000,6065,20000,12662,6000
2024,manicurist,3000,2100,1400,3000,2100,1400
2024,manufacturing engineer,6860,4589,2596,6708,4325,2528
2024,manufacturing engineering technician,4670,3750,3151,3761,3075,2461
2024,manufacturing manager,11110,8571,6126,10750,8395,5800
2024,marine draughtsman,5600,4400,3760,5600,4400,3760
2024,marine engineer,5700,4603,4130,5500,4550,4000
2024,"marine engineering officer (including third, fourth and fifth engineer)",5324,4173,3278,5324,4108,3278
2024,marine superintendent,14426,9600,6580,14426,9130,6200
2024,marine superintendent (engineer),10240,7638,5800,9950,7583,5600
2024,marine surveyor (ship and nautical),6744,5089,3867,6040,3867,1798
2024,market research professional,9167,7000,5437,9166,7000,5437
2024,marketing and sales executive (food & beverage services),4330,3500,1750,4071,3400,1750
2024,marketing manager,13061,8841,6000,12897,8595,5900
2024,marketing strategy/planning professional,11785,8060,4600,11760,8060,4567
2024,martial arts instructor,4280,4100,4100,4100,4100,4000
2024,massage therapist,3600,2690,1600,3000,1892,1400
2024,masseur (non-medical) (including foot reflexologist),1945,1600,1550,1871,1600,1500
2024,material planning clerk,9089,5907,4190,8928,5819,4008
2024,materials engineer,10805,8643,6592,10790,8626,6555
2024,mechanical draughtsman,5646,3800,2700,5450,3728,2700
2024,mechanical engineer,8678,6205,4900,8322,6030,4775
2024,mechanical engineering technician,4402,3748,3056,4402,3724,3042
2024,mechanical equipment/component assembler,3025,2084,1481,3025,2068,1481
2024,mechanical products quality checker and tester,5496,4354,3157,5290,3511,2599
2024,media and broadcasting engineer,8631,6049,5012,8631,6049,5012
2024,media and broadcasting manager,8074,6010,4745,8020,6000,4745
2024,media and broadcasting operations technician,5230,4153,3540,5200,4126,3460
2024,medical and pathology laboratory technician,4880,4280,3853,4873,4280,3853
